	system_time_stamp	msg
0	1665116014352	Calibration_start
1	1665116018633	calibration point 0 at position 0.0 -0.0
2	1665118823490	calibration point 1 at position 17.30163276997995 -9.732168433113722
3	1665121372579	calibration point 2 at position -17.30163276997995 9.732168433113722
4	1665123621271	Calibration_stop
5	1665123721565	Validation_start
6	1665124222388	validation point 0 at position 0.0 -7.299126324835292
7	1665126772550	validation point 1 at position 12.976224577484963 -0.0
8	1665129572627	validation point 2 at position 0.0 7.2991263248352904
9	1665132222508	validation point 3 at position -12.976224577484961 -0.0
10	1665134355943	Validation_end
11	1665134428881	validation data quality Dev_L: 1.11, Dev_R: 3.25 RMS_L: 0.16, RMS_R: 0.14, SD_L: 0.10, SD_R: 0.09, LOSS_L: 0.00, LOSS_R: 0.00
12	1665142053567	fix on
13	1665143039051	fix off
14	1665143039246	stim on: C:/Users/defeo/PycharmProjects/Emotion_Recognition_Application/Image/beer_positioning.jpg
15	1665173039056	stim off: C:/Users/defeo/PycharmProjects/Emotion_Recognition_Application/Image/beer_positioning.jpg
