	system_time_stamp	msg
0	1213781024107	Calibration_start
1	1213781031387	calibration point 0 at position -19.169474339912615 10.782829316200846
2	1213782742501	calibration point 1 at position 0.0 -0.0
3	1213784625127	calibration point 2 at position 19.169474339912615 -10.782829316200846
4	1213787050622	Calibration_stop
5	1213787150927	Validation_start
6	1213787658203	validation point 0 at position 14.377105754934462 -0.0
7	1213789157776	validation point 1 at position 0.0 -8.087121987150637
8	1213790655635	validation point 2 at position 0.0 8.087121987150633
9	1213792155404	validation point 3 at position -14.377105754934458 -0.0
10	1213793155702	Validation_end
11	1213793435112	validation data quality Dev_L: 9.05, Dev_R: 5.57 RMS_L: 0.10, RMS_R: 0.12, SD_L: 0.07, SD_R: 0.09, LOSS_L: 0.00, LOSS_R: 0.00
12	1213796878993	fix on
13	1213797853860	fix off
14	1213797853996	stim on: beer_positioning.jpg
15	1213800853495	stim off: beer_positioning.jpg
