	system_time_stamp	msg
0	26088306180	Calibration_start
1	26088311571	calibration point 0 at position -19.169474339912615 10.782829316200846
2	26097171620	calibration point 1 at position 19.169474339912615 -10.782829316200846
3	26098920803	calibration point 2 at position 0.0 -0.0
4	26101554260	Calibration_stop
5	26104946684	Calibration_start
6	26104954604	calibration point 0 at position 19.169474339912615 -10.782829316200846
7	26107068139	calibration point 1 at position 0.0 -0.0
8	26108966980	calibration point 2 at position -19.169474339912615 10.782829316200846
9	26111618155	Calibration_stop
10	26119036198	Calibration_start
11	26119043822	calibration point 0 at position 19.169474339912615 -10.782829316200846
12	26123227531	calibration point 1 at position -19.169474339912615 10.782829316200846
13	26124959909	calibration point 2 at position 0.0 -0.0
14	26127859601	Calibration_stop
15	26127960108	Validation_start
16	26128457688	validation point 0 at position -14.377105754934458 -0.0
17	26129957401	validation point 1 at position 0.0 8.087121987150633
18	26131456797	validation point 2 at position 14.377105754934462 -0.0
19	26132956075	validation point 3 at position 0.0 -8.087121987150637
20	26133955738	Validation_end
21	26134244232	validation data quality Dev_L: 2.31, Dev_R: 2.11 RMS_L: 0.32, RMS_R: 0.40, SD_L: 0.24, SD_R: 0.34, LOSS_L: 0.19, LOSS_R: 0.17
22	26140657561	fix on
23	26141635501	fix off
24	26141635691	stim on: beer_positioning.jpg
25	26171621651	stim off: beer_positioning.jpg
