	device_time_stamp	system_time_stamp	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	1621265066678480	1726086720720	0.5282500982284546	0.4919082820415497	9.548523902893066	161.76986694335938	45.47952651977539	0.5845210552215576	0.49777159094810486	0.5101051926612854	-22.553821563720703	-2.5909740924835205	603.0315551757812	3.140777587890625	1	1	1	0.5457127690315247	0.4786566197872162	15.450922012329102	165.15963745117188	46.780704498291016	0.41502687335014343	0.5077170729637146	0.5097581148147583	34.85881042480469	-4.712711811065674	602.9274291992188	2.9975738525390625	1	1	1
1	1621265066695229	1726086737470	0.5354269742965698	0.4885431230068207	11.974323272705078	162.6306610107422	45.80995178222656	0.584522008895874	0.49725568294525146	0.5102077126502991	-22.554954528808594	-2.486006259918213	603.0623168945312	3.14154052734375	1	1	1	0.5377800464630127	0.4896306097507477	12.769657135009766	162.3524932861328	45.70317077636719	0.4149787724018097	0.50722336769104	0.5103265643119812	34.88287353515625	-4.61333703994751	603.0979614257812	3.0184478759765625	1	1	1
2	1621265066711855	1726086754097	0.5385598540306091	0.4791642129421234	13.033238410949707	165.02980041503906	46.730865478515625	0.5844764113426208	0.4969577193260193	0.5106296539306641	-22.54279327392578	-2.4258151054382324	603.1889038085938	3.11370849609375	1	1	1	0.5269106030464172	0.4850376844406128	9.09577465057373	163.52735900878906	46.15414810180664	0.41493576765060425	0.5070228576660156	0.5101820826530457	34.89549255371094	-4.572165012359619	603.0546264648438	3.0254974365234375	1	1	1
3	1621265066728480	1726086770724	0.5404221415519714	0.4953410029411316	13.662683486938477	160.8917694091797	45.1424674987793	0.5843522548675537	0.4967634081840515	0.5109094381332397	-22.50291633605957	-2.3866093158721924	603.2728271484375	3.130706787109375	1	1	1	0.5387288331985474	0.47767403721809387	13.090353965759277	165.41098022460938	46.8771858215332	0.41502612829208374	0.506868302822113	0.5101332664489746	34.864234924316406	-4.5404863357543945	603.0399780273438	3.0095977783203125	1	1	1
4	1621265066745103	1726086787349													0	0	0													0	0	0
5	1621265066761851	1726086804098													0	0	0													0	0	0
6	1621265066778475	1726086820724													0	0	0													0	0	0
7	1621265066795100	1726086837350													0	0	0													0	0	0
8	1621265066811727	1726086853978													0	0	0													0	0	0
9	1621265066828352	1726086870605													0	0	0													0	0	0
