	system_time_stamp	msg
0	1726087234344	Calibration_start
1	1726087242245	calibration point 0 at position 19.169474339912615 -10.782829316200846
2	1726090552628	calibration point 1 at position -19.169474339912615 10.782829316200846
3	1726092234894	calibration point 2 at position 0.0 -0.0
4	1726094811653	Calibration_stop
5	1726097983904	Calibration_start
6	1726097991783	calibration point 0 at position -19.169474339912615 10.782829316200846
7	1726099715865	calibration point 1 at position 0.0 -0.0
8	1726101565152	calibration point 2 at position 19.169474339912615 -10.782829316200846
9	1726103887163	Calibration_stop
10	1726103987696	Validation_start
11	1726104463796	validation point 0 at position 0.0 8.087121987150633
12	1726105946113	validation point 1 at position 14.377105754934462 -0.0
13	1726107429391	validation point 2 at position -14.377105754934458 -0.0
14	1726108911922	validation point 3 at position 0.0 -8.087121987150637
15	1726109911576	Validation_end
16	1726110225218	validation data quality Dev_L: 8.87, Dev_R: 6.88 RMS_L: 0.27, RMS_R: 0.22, SD_L: 0.18, SD_R: 0.16, LOSS_L: 0.00, LOSS_R: 0.00
17	1726112693369	fix on
18	1726113676434	fix off
19	1726113676629	stim on: beer_positioning.jpg
20	1726143663616	stim off: beer_positioning.jpg
